,user_id
1205,BigMike
1206,BigMilly8
1207,BigMomma
1208,BigNasty
1209,BigSound
1210,BigSquid
1211,BigWojt
1212,BigYtBear
1213,BigZig76
1214,Big_Pete
1215,Bigassfish
1216,Bigbluedan
1217,Biggs88
1218,Bigjohnla
1219,Bigmmartin
1220,Bigpulpi
1221,Bigsilky
1222,Bigsky66
1223,Bigteets23
1224,BiiruBierBeer
1225,Bijl
1226,Bikegary
1227,Bikeman53
1228,Bilk
1229,Bill86
1230,BillAhlman
1231,BillDancedh32
1232,BillHick420
1233,BillKismet
1234,BillVanE
1235,BillWyce
1236,Billicus
1237,Bills
1238,Billvoss69
1239,BillyCheer
1240,BillyM
1241,BillyMidnight
1242,Billyaustin
1243,Billybarool
1244,BineChalice28
1245,BineChamp18
1246,BineChamp61
1247,BineChief20
1248,BineExports26
1249,BineExports34
1250,BineHopper23
1251,BineLiquids9
1252,BineMaestro67
1253,BineMaster51
1254,BineMaster62
1255,BineMeister23
1256,BineMonger51
1257,BineMuse42
1258,BineReports47
1259,BineSampler39
1260,BineSampler56
1261,BineScout32
1262,BineSensei21
1263,BineTicks22
1264,BiochemProf
1265,BiraSevdasi
1266,Birdiebeagle
1267,Birdmachino
1268,Birdman37
1269,Biroholik
1270,BitchPls
1271,BitchesBrew
1272,Bitek
1273,BitterBeerFace1
1274,BitterChalice22
1275,BitterChalice25
1276,BitterChalice36
1277,BitterHopper16
1278,BitterLove36
1279,BitterLove37
1280,BitterPupil36
1281,BitterPupil43
1282,BitterRater21
1283,BitterReports55
1284,BitterSampler16
1285,BitterTamer20
1286,BitterTamer60
1287,BitterTapper22
1288,Bitterbill
1289,Bitzybrew
1290,Bj32007
1291,Bjarne
1292,BjorBok Freysa
1293,BjornBengtsson
1294,Bjshades
1295,BlackAndTan
1296,BlackBeerPG
1297,BlackDonald
1298,BlackEyePA
1299,BlackForestCO
1300,BlackGold
1301,BlackHaddock
1302,BlackJesus99
1303,BlackLabel
1304,BlackLeaf
1305,BlackMail
1306,BlackOut
1307,BlackWarrior
1308,Blackbarrel
1309,Blackdemon
1310,Blackduck18
1311,Blackknight
1312,Blade86
1313,Blairgus
1314,Blaise70
1315,Blake
1316,BlakeSauer
1317,Blaketj80
1318,Blankpolert
1319,Blasphemies
1320,BlastoBurnfingr
1321,Blastomorpha
1322,Blatz King
1323,Blaze312
1324,BlazerT
1325,Blazhock
1326,BleacherBum
1327,Bleki
1328,BlindGuardianco
1329,Blink
1330,BlizzardOz
1331,Blizzer34
1332,Blk
1333,Bln
1334,Block
1335,Blockade
1336,Blockhead
1337,Blockley
1338,Bloekie
1339,Bloemart
1340,Bloke
1341,Blom
1342,BlondeBeerBunE
1343,Bloodman
1344,Blot63
1345,BlowOffTube
1346,Bls1978
1347,BlueDevil0206
1348,BlueFalcon
1349,BlueGaljoen
1350,Blueshawk
1351,BlurFan
1352,BlytheEwe
1353,Bmurphy
1354,BoBoChamp
1355,Bob Cotter99
1356,Bob2
1357,BobBarley
1358,BobEvers
1359,BobbyAnalog
1360,BobbySolo
1361,BobbyW3363
1362,Bobhund
1363,Bobkorba
1364,Bobsy
1365,BobyFischer
1366,BockMan99
1367,Bockyhorsey
1368,BodaciousBeer
1369,Bodomite
1370,Boe
1371,Bogarto
1372,Bohm
1373,BojanM
1374,Boletus
1375,Bolian
1376,Boliv
1377,BolkBitterBaard
1378,Bolo
1379,Bolt
1380,BoltonDK
1381,Bomberheucki
1382,BonedrySaint
1383,Bonemeister99
1384,Bonnie628
1385,Bonster
1386,Bontus
1387,Booblurker
1388,Bookseeb
1389,Boomer
1390,BoomerSooner
1391,Boomersmancave1
1392,Boot7boy
1393,Bootlegger007
1394,BoozeHag462
1395,BoozeMcD
1396,BorealeBoy
1397,BorgHunter
1398,Borgen
1399,Borik
1400,Boris4Life
1401,Bork
1402,Borkowski
1403,BorksBabe
1404,Bornyensis
1405,Borr
1406,Borracho
1407,Borresteijn
1408,Borrrris
1409,Borup
1410,Bosbouw
1411,Bosco
1412,Boskabouter
1413,BosnSeaOtter
1414,BossHossBikes
1415,Bosskie
1416,BostonFox
1417,Botnik
1418,Botrytis
1419,BottleHound
1420,BottleHouse
1421,Boutip
1422,Bov
1423,BowlingAlone
